date,route_name,delayed_count,on_time_count
2024-07-07,685,0,66
2024-07-07,688,2,35
2024-07-07,小8,0,44
2024-07-07,203,12,220
2024-07-07,111,3,106
2024-07-07,小23,2,107
2024-07-07,287區,0,55
2024-07-07,278,1,237
2024-07-07,14,2,18
2024-07-07,0東,3,127
2024-07-07,小11,2,41
2024-07-07,棕5,8,50
2024-07-07,棕2,0,45
2024-07-07,262,2,40
2024-07-07,棕10,0,16
2024-07-07,129,8,159
2024-07-07,52,5,129
2024-07-07,128,4,97
2024-07-07,紅35,1,40
2024-07-07,棕11副,11,96
2024-07-07,棕15,1,60
2024-07-07,288,5,27
2024-07-07,255區,1,25
2024-07-07,265經明德路,0,27
2024-07-07,295,3,48
2024-07-07,棕3,0,68
2024-07-07,棕11,4,90
2024-07-07,539,0,57
2024-07-07,棕13,2,132
2024-07-07,市民小巴15,2,45
2024-07-07,藍7,7,47
2024-07-07,279,5,112
2024-07-07,521,2,13
2024-07-07,202,0,98
2024-07-07,藍25,2,54
2024-07-07,907,0,100
2024-07-07,568,0,29
2024-07-07,221,0,23
2024-07-07,247區,1,101
2024-07-07,645,0,13
2024-07-07,756,0,42
2024-07-07,市民小巴5,2,42
2024-07-07,小2區,3,32
2024-07-07,藍20區,2,73
2024-07-07,紅29,0,30
2024-07-07,643,13,29
2024-07-07,681,10,172
2024-07-07,602,4,163
2024-07-07,紅5,8,40
2024-07-07,市民小巴6,0,24
2024-07-07,小12,0,4
2024-07-07,藍5,0,50
2024-07-07,0南,0,103
2024-07-07,232,4,46
2024-07-07,紅9,7,42
2024-07-07,957,0,166
2024-07-07,109,3,70
2024-07-07,204,3,43
2024-07-07,松江新生幹線,1,19
2024-07-07,508,0,95
2024-07-07,606,9,32
2024-07-07,235,1,31
2024-07-07,33,1,84
2024-07-07,北環幹線,5,40
2024-07-07,267,1,88
2024-07-07,611,1,50
2024-07-07,42區,2,33
2024-07-07,49,0,74
2024-07-07,小7,0,44
2024-07-07,小8區,2,46
2024-07-07,617副,0,45
2024-07-07,225,0,41
2024-07-07,1717,1,208
2024-07-07,307西藏三民,0,100
2024-07-07,羅斯福路幹線,4,24
2024-07-07,紅3區,3,33
2024-07-07,懷恩專車S33,0,8
2024-07-07,藍51,0,14
2024-07-07,藍50,0,19
2024-07-07,612,1,16
2024-07-07,286副,0,32
2024-07-07,672,0,41
2024-07-07,基隆路幹線,3,14
2024-07-07,小1,0,5
2024-07-07,108,0,9
2024-07-07,臺北觀光巴士紅線,2,7
2024-07-07,552,1,68
2024-07-07,小5區,0,56
2024-07-07,小1區,6,35
2024-07-07,292副,2,51
2024-07-07,通勤21,3,25
2024-07-07,和平幹線,0,49
2024-07-07,民生幹線,0,22
2024-07-07,551,1,51
2024-07-07,藍27,0,35
2024-07-07,282,6,29
2024-07-07,紅50,2,44
2024-07-07,藍10,0,31
2024-07-07,南京幹線,1,15
2024-07-07,2,3,74
2024-07-07,72,0,42
2024-07-07,757,0,113
2024-07-07,260,14,123
2024-07-07,303區,1,161
2024-07-07,292,0,10
2024-07-07,265區,0,6
2024-07-07,660,0,142
2024-07-07,20,2,20
2024-07-07,信義幹線,0,34
2024-07-07,市民小巴7,3,57
2024-07-07,214直,2,97
2024-07-07,260區,0,92
2024-07-07,307,7,15
2024-07-07,紅15,0,62
2024-07-07,236區,0,92
2024-07-07,310,2,22
2024-07-07,棕22,4,160
2024-07-07,63,0,44
2024-07-07,284,2,23
2024-07-07,251,10,84
2024-07-07,251區,5,56
2024-07-07,小10,0,57
2024-07-07,12,0,71
2024-07-07,38區,0,21
2024-07-07,311,0,7
2024-07-07,903,3,98
2024-07-07,66,0,95
2024-07-07,298,6,27
2024-07-07,32,9,43
2024-07-07,915,2,70
2024-07-07,208,6,38
2024-07-07,660區,11,89
2024-07-07,247,2,9
2024-07-07,630,4,20
2024-07-07,38,3,17
2024-07-07,227,6,77
2024-07-07,37,1,14
2024-07-07,670,7,35
2024-07-07,644,0,8
2024-07-07,647,0,47
2024-07-07,小3,1,34
2024-07-07,286,6,46
2024-07-07,257,0,21
2024-07-07,616,0,23
2024-07-07,682,0,180
2024-07-07,530,2,26
2024-07-07,小36,2,14
2024-07-07,綠11,1,18
2024-07-07,88,1,55
2024-07-07,46,0,41
2024-07-07,88區,0,53
2024-07-07,108區,0,26
2024-07-07,小28,5,14
2024-07-07,小25,0,26
2024-07-07,216,15,39
2024-07-07,270,9,33
2024-07-07,小6,0,23
2024-07-07,669,1,52
2024-07-07,藍28,6,46
2024-07-07,9,2,45
2024-07-07,902,4,33
2024-07-07,懷恩專車S31,0,6
2024-07-07,紅10,8,32
2024-07-07,5,1,23
2024-07-07,262區,3,8
2024-07-07,22,1,17
2024-07-07,重慶幹線,0,29
2024-07-07,紅31,0,24
2024-07-07,617,0,10
2024-07-07,41,2,15
2024-07-07,223,0,18
2024-07-07,679,3,78
2024-07-07,304重慶,1,59
2024-07-07,212,4,37
2024-07-07,281,2,11
2024-07-07,605,0,53
2024-07-07,市民小巴8,0,36
2024-07-07,949,0,89
2024-07-07,536區,0,89
2024-07-07,302,0,66
2024-07-07,小26,0,12
2024-07-07,230,0,28
2024-07-07,棕12,0,12
2024-07-07,215,0,24
2024-07-07,557,1,7
2024-07-07,小9(台灣好行-北投竹子湖),0,37
2024-07-07,1,0,19
2024-07-07,224,2,22
2024-07-07,218區,2,13
2024-07-07,18,1,22
2024-07-07,臺北觀光巴士藍線,3,6
2024-07-07,小16,0,8
2024-07-07,市民小巴16,0,22
2024-07-07,小17,0,2
2024-07-07,小18,0,28
2024-07-07,277,1,14
2024-07-07,274,0,31
2024-07-07,藍29,3,53
2024-07-07,508區,3,17
2024-07-07,小10區,5,39
2024-07-07,207,0,16
2024-07-07,306,8,61
2024-07-07,265經中央路,4,43
2024-07-07,紅12,0,16
2024-07-07,222,3,19
2024-07-07,小22,0,7
2024-07-07,貓空左線(動物園),1,19
2024-07-07,紅7區,0,26
2024-07-07,棕18,2,4
2024-07-07,253,12,11
2024-07-07,市民小巴1,0,24
2024-07-07,254,1,17
2024-07-07,棕6,2,14
2024-07-07,671,12,11
2024-07-07,212直,0,15
2024-07-07,紅19,4,20
2024-07-07,668,0,12
2024-07-07,711,0,53
2024-07-07,280,5,34
2024-07-07,市民小巴9,0,4
2024-07-07,紅68,0,2
2024-07-07,252,2,162
2024-07-07,42,0,1
2024-07-07,641,0,76
2024-07-07,南環幹線,0,32
2024-07-07,藍7副,2,58
2024-07-07,內湖幹線,0,7
2024-07-07,648,9,25
2024-07-07,小21,1,37
2024-07-07,673,1,145
2024-07-07,棕20,0,22
2024-07-07,棕19,3,34
2024-07-07,39,8,3
2024-07-07,550,1,24
2024-07-07,懷恩專車S35,0,4
2024-07-07,紅30,0,4
2024-07-07,234,4,8
2024-07-07,藍26,1,11
2024-07-07,敦化幹線,4,1
2024-07-07,226,5,6
2024-07-07,604,20,18
2024-07-07,651,4,7
2024-07-07,仁愛幹線,2,5
2024-07-07,小9區,0,38
2024-07-07,藍36,6,10
2024-07-07,905,10,38
2024-07-07,205,0,3
2024-07-07,276,5,24
2024-07-07,652,0,2
2024-07-07,306區,7,6
2024-07-07,912,2,27
2024-07-07,214,5,11
2024-07-07,505,8,39
2024-07-07,紅2,0,31
